Component,Quantity,Purpose
ESP32 dev board,1,Hub (score/combo logic + ESP-NOW receiver)
ESP32 / Xiao S3,2,Sword controllers (1 per sword)
MPU6050,2,Impact/clash detection per sword
WS2812B LED strip (short),2,Sword blade/handle glow
WS2812B LED strip (longer),1,Hub health/score display
Foam/toy swords,2,Housing for electronics
Battery / battery holder or power bank,2,Standalone power per sword
USB cables,3+,Flashing/powering boards
Breadboards,2-3,Prototyping before soldering
Jumper wires,1 pack,Prototyping connections
Soldering iron (pinecil),2,Final assembly
Solder,1 spool,Final assembly
Solder sucker,1,Desoldering mistakes
Helping hands,1,Soldering aid
Hot glue gun + sticks,1,Securing components in sword handles
Electrical tape,1 roll,Insulation/strain relief
Zip ties,1 pack,Cable management
Multimeter,1,Debugging wiring/power
Calipers,1,Measuring fit for enclosures
Wire strippers/cutters,1,Wiring prep
Small screwdriver set,1,Opening sword casings
Car speaker,1,Clash/hit sound effects
Small project box or enclosure,1,Housing for hub
Laptop,1 per person,Flashing boards / dashboard dev
